PMK,Artist,Birthdate,Col D,Col E
1,Shawn Mendes,8-Aug-98,,
2,Anuel AA,27-Nov-92,,
3,Post Malone,4-Jul-95,,
4,Lil Tecca,26-Aug-02,,
5,Sam Smith,19-May-92,,
6,Lil Nas X,9-Apr-99,,
7,Billie Eilish,18-Dec-01,,
8,Bad Bunny,10-Mar-94,,
9,DJ Snake,13-Jun-86,,
10,Lewis Capaldi,7-Oct-96,,
11,Drake,24-Oct-86,,
12,Chris Brown,5-May-89,,
13,Y2K,27-Jul-94,,
14,Lizzo,27-Apr-88,,
15,MEDUZA,,,
16,Jhay Cortez,9-Apr-93,,
17,Lunay,4-Oct-00,,
18,Tones and I,15-Aug-00,,
19,Ali Gatie,31-May-97,,
20,Daddy Yankee,3-Feb-77,,
21,J Balvin,7-May-85,,
22,The Chainsmokers,,,
23,Ariana Grande,26-Jun-93,,
24,Young Thug,16-Aug-91,,
25,Katy Perry,25-Oct-84,,
26,Martin Garrix,14-May-96,,
27,Sech,3-Dec-93,,
28,Ed Sheeran,17-Feb-91,,
29,Jonas Brothers,,,
30,Lauv,8-Aug-94,,
31,Kygo,11-Sep-91,,
32,Taylor Swift,13-Dec-89,,
33,Lady Gaga,28-Mar-86,,
34,Khalid,26-Nov-75,,
35,ROSALÕA,25-Sep-93,,
36,Marshmello,19-May-92,,
37,Nicky Jam,17-Mar-81,,
